Year,Comparative Figures (Rupees.) All-India At Current Prices,Comparative Figures (Rupees.) All-India At Constant Prices,Comparative Figures (Rupees.) Madhya Pradesh At Current Prices,Comparative Figures (Rupees.) Madhya Pradesh At Constant Prices,% Increase Over Previous Year All-India At Current Prices,% Increase Over Previous Year All-India At Constant Prices,% Increase Over Previous Year Madhya Pradesh At Current Prices,% Increase Over Previous Year Madhya Pradesh At Constant Prices
2004-05 ,24143,24143,15442,15442,NA,NA,NA,NA
2005-06 ,27131,26015,16631,15927,12.38,7.75,7.7,3.14
2006-07,31206,28067,19028,17073,15.02,7.89,14.41,7.19
2007-08,35825,30332,20935,17572,14.8,8.07,10.03,2.93
2008-09,40775,31754,25278,19462,13.82,4.69,20.75,10.76
2009-10,46249,33901,28651,20959,13.42,6.76,13.34,7.69
2010-11,54021,36202,32453,21706,16.8,6.79,13.27,3.56
2011-12 (P),61855,38048,37979,23447,14.5,5.1,17.03,8.02
2012-13 (Q),67839,38856,44989,25463,9.67,2.12,18.46,8.6
2013-14 (A),74920,39961,54030,27917,10.44,2.84,20.1,9.64
