S. No,District,2004 to 2005 (In Rupees),2005 to 2006 (In Rupees),2006 to 2007 (In Rupees),2007 to 2008 (In Rupees),2008 to 2009 (In Rupees),2009 to 2010 (In Rupees),2010 to 2011 (In Rupees),2011 to 2012 (P) (In Rupees),2012 to 2013 (Q) (In Rupees)
1,Sheopur,11916,12010,12078,12314,13310,14268,14390,16457,17549
2,Morena,11049,11366,11831,12093,13678,14420,15346,16529,17650
3,Bhind,10063,11006,10855,11251,13627,14848,14913,15816,17607
4,Gwalior,21569,22132,23614,23845,27967,30008,31864,33913,36223
5,Datia,13021,13785,14077,14373,16383,18050,18680,20454,23442
6,Shivpuri,11419,11709,11486,11226,13262,14231,14126,16850,16828
7,Guna,12615,13233,13720,14055,15913,16848,17406,19422,22047
8,Tikamgarh,10618,10605,10535,10469,12977,13480,13281,15187,16107
9,Chhatarpur,11886,11978,11884,11890,13718,14554,15275,16805,17674
10,Panna,11343,11830,11924,11998,12896,13790,14762,15887,16884
11,Sagar,13291,13832,14706,14997,17167,18496,18202,20210,22395
12,Damoh,13351,14242,15490,15232,17250,18209,17743,18747,20495
13,Satna,12927,13406,13956,14183,15792,16908,17336,18670,20093
14,Rewa,10523,10864,11430,11613,12659,13172,13799,15136,16590
15,Umaria,11047,11619,12069,12385,12713,13555,15173,15913,17798
16,Shahadol,16746,17279,18302,18908,20645,21127,22550,23708,25779
17,Sidhi,21588,20990,22534,22661,24876,25400,27739,27477,30085
18,Neemuch,17841,17281,18578,19003,21094,21700,23262,24514,27475
19,Mandsaur,17314,16095,18431,18491,19980,20910,22385,24600,27477
20,Ratlam,18001,18158,20196,20935,22395,23892,24131,26037,29011
21,Ujjain,19709,20579,23170,23182,25331,27780,27911,29409,32567
22,Shajapur,13684,13798,14600,15000,16058,17627,17818,19068,20797
23,Dewas,14282,14914,16267,16741,17789,19563,19748,22015,24454
24,Jhabua,9261,9694,9800,10500,12639,13302,13329,15276,16735
25,Dhar,13256,13411,15118,15640,17348,18746,18837,20441,22095
26,Indore,34442,35097,38711,40557,44978,48231,49327,52827,55348
27,Khargaone,11449,11378,12490,13029,13815,15106,16070,18319,18197
28,Barwani,9433,9468,10156,10484,12145,12975,13551,15581,17446
29,Khandwa,13070,13605,14467,15212,15800,16602,17635,19884,22129
30,Rajgarh,12721,13024,13452,13928,15066,16291,16330,17599,19598
31,Vidisha,13806,14084,15063,14340,16729,18148,18149,19082,20818
32,Bhopal,28265,30096,33378,36111,37639,41947,44231,47433,49979
33,Sehore,13379,13809,13777,14209,15200,17383,16518,18511,19909
34,Raisen,12944,13356,14149,14558,16069,17561,16656,18917,21374
35,Betul,13530,14391,15673,15438,17119,18490,19865,20427,22483
36,Harda,13994,17906,19066,19881,20517,23124,24964,25932,32421
37,Hoshangabad,18418,19856,21600,22719,23735,26121,26616,28749,30393
38,Katni,15812,16581,17354,17785,19621,19739,21240,23240,24620
39,Jabalpur,21890,22316,24558,25495,31399,34465,36486,38956,41462
40,Narsinghpur,13466,13804,14474,14756,15804,17306,17763,18100,20649
41,Dindori,9193,9687,9961,10770,11905,12905,13921,15735,18715
42,Mandla,9709,10087,10153,10472,11862,12175,12892,13659,14123
43,Chhindwara,17448,18007,19935,20757,21468,24404,25555,27657,30884
44,Seoni,11560,12508,13322,13727,14856,15765,16959,18479,21275
45,Balaghat,13019,13793,14682,15412,16067,17846,18415,19265,21739
46,Madhya Pradesh,15442,15927,17073,17572,19462,20959,21706,23447,25463
,,,,,,,,,,
,,,,,,,,,,
